,name,link,min_salary,max_salary,currency,employer,site_name
0,Junior Associate (Italian language),https://hh.ru/vacancy/51400340?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,1000,1000,EUR,Павия и Ансальдо,hh.ru
1,Технический переводчик,https://hh.ru/vacancy/51168870?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,1200,1200,бел.руб.,ОДО Мироздание,hh.ru
2,"Менеджер по развитию партнерских сетей со знанием английского, испанского французского (remote work)",https://hh.ru/vacancy/51213890?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,300,300,EUR,Jooble,hh.ru
3,Переводчик,https://hh.ru/vacancy/47692209?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,300000,300000,руб.,АО Точэлектромаш,hh.ru
4,Переводчик с английского языка,https://hh.ru/vacancy/51026593?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,400,400,USD,Data group,hh.ru
5,Translator (English),https://hh.ru/vacancy/51074178?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,100000,100000,руб.,HR Consulting,hh.ru
6,Старший менеджер-координатор переводческих проектов,https://hh.ru/vacancy/51189846?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,80000,80000,руб.,Amaranthe Translations,hh.ru
7,Менеджер-переводчик в бюро переводов,https://hh.ru/vacancy/51499979?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,40000,40000,руб.,Мастер перевода,hh.ru
8,Переводчик,https://hh.ru/vacancy/51069073?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,2000000,2000000,сум,ООО ISHONCH KREDIT SAVDO,hh.ru
9,Персональный ассистент-переводчик английского языка в Банк,https://hh.ru/vacancy/51497617?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,руб.,Банк,hh.ru
